Designator,Mid X,Mid Y,Rotation,Layer
BT1,144.7575,-111.2175,0.0,top
C1,169.5,-135.4625,90.0,top
C2,176.5,-135.4625,90.0,top
C3,190.29,-104.25,0.0,top
C4,172.7125,-120.5,0.0,top
D1,200.25,-104.25,0.0,top
D1A1,136.0,-159.5,180.0,top
D1B1,139.75,-159.5,180.0,top
D1C1,143.5,-159.5,0.0,top
D1D1,147.25,-159.5,0.0,top
D1E1,151.0,-159.5,0.0,top
D1F1,154.75,-159.5,0.0,top
D1G1,158.5,-159.5,0.0,top
D29,169.0,-159.5,0.0,top
D2A1,136.0,-155.75,0.0,top
D2B1,139.75,-155.75,0.0,top
D2C1,143.5,-155.75,0.0,top
D2D1,147.25,-155.75,0.0,top
D2E1,151.0,-155.75,0.0,top
D2F1,154.75,-155.75,0.0,top
D2G1,158.5,-155.75,0.0,top
D30,172.75,-159.5,0.0,top
D31,169.0,-155.75,0.0,top
D32,172.75,-155.75,0.0,top
D3A1,179.75,-159.5,0.0,top
D3B1,183.5,-159.5,0.0,top
D3C1,187.25,-159.5,0.0,top
D3D1,191.0,-159.5,0.0,top
D3E1,194.75,-159.5,0.0,top
D3F1,198.5,-159.5,0.0,top
D3G1,202.25,-159.5,0.0,top
D4A1,179.75,-155.75,0.0,top
D4B1,183.5,-155.75,0.0,top
D4C1,187.25,-155.75,0.0,top
D4D1,191.0,-155.75,0.0,top
D4E1,194.75,-155.75,0.0,top
D4F1,198.5,-155.75,0.0,top
D4G1,202.25,-155.75,0.0,top
J1,162.25,-159.5,0.0,top
J10,170.695,-101.0,90.0,top
J11,200.25,-101.0,90.0,top
J2,162.25,-155.75,0.0,top
J3,206.0,-155.75,0.0,top
J4,206.0,-159.5,0.0,top
J5,172.75,-152.0,0.0,top
J6,182.735,-116.025,0.0,top
J7,210.0,-111.23,0.0,top
J8,178.18,-101.0,90.0,top
J9,161.945,-101.0,90.0,top
Q1,135.5,-144.3,180.0,top
Q10,146.5,-140.25,180.0,top
Q11,150.5,-140.25,180.0,top
Q12,154.5,-140.25,180.0,top
Q13,158.5,-140.25,180.0,top
Q14,162.5,-140.25,180.0,top
Q15,180.0,-144.25,180.0,top
Q16,184.0,-144.3,180.0,top
Q17,188.0,-144.25,180.0,top
Q18,192.0,-144.2,180.0,top
Q19,196.0,-144.2,180.0,top
Q2,139.5,-144.25,180.0,top
Q20,200.0,-144.25,180.0,top
Q21,204.0,-144.3,180.0,top
Q22,183.0,-140.3,180.0,top
Q23,187.0,-140.3,180.0,top
Q24,191.0,-140.3,180.0,top
Q25,195.0,-140.3,180.0,top
Q26,199.0,-140.3,180.0,top
Q27,203.0,-140.3,180.0,top
Q28,207.0,-140.3,180.0,top
Q29,168.75,-140.25,180.0,top
Q3,143.5,-144.25,180.0,top
Q30,191.25,-115.25,270.0,top
Q32,200.5,-109.75,90.0,top
Q4,147.5,-144.25,180.0,top
Q5,151.5,-144.25,180.0,top
Q6,155.5,-144.25,180.0,top
Q7,159.5,-144.25,180.0,top
Q8,138.5,-140.25,180.0,top
Q9,142.5,-140.25,180.0,top
R1,136.5,-148.75,90.0,top
R10,146.5,-148.75,90.0,top
R11,150.5,-148.75,90.0,top
R12,154.5,-148.75,90.0,top
R13,158.5,-148.75,90.0,top
R14,162.5,-148.75,90.0,top
R15,180.0,-148.75,90.0,top
R16,184.0,-148.75,90.0,top
R17,188.0,-148.75,90.0,top
R18,192.0,-148.75,90.0,top
R19,196.0,-148.75,90.0,top
R2,140.5,-148.75,90.0,top
R20,200.0,-148.75,90.0,top
R21,204.0,-148.75,90.0,top
R22,182.0,-148.75,90.0,top
R23,186.0,-148.75,90.0,top
R24,190.0,-148.75,90.0,top
R25,194.0,-148.75,90.0,top
R26,198.0,-148.75,90.0,top
R27,202.0,-148.75,90.0,top
R28,206.0,-148.75,90.0,top
R29,167.75,-145.25,90.0,top
R3,144.5,-148.75,90.0,top
R30,169.75,-145.25,90.0,top
R31,171.75,-145.25,90.0,top
R32,174.0,-145.25,90.0,top
R33,168.485,-114.85,90.0,top
R34,196.25,-109.5,0.0,top
R35,200.25,-106.75,180.0,top
R36,136.5,-135.5,270.0,top
R37,140.5,-135.5,270.0,top
R38,144.5,-135.5,270.0,top
R39,148.5,-135.5,270.0,top
R4,148.5,-148.75,90.0,top
R40,152.5,-135.5,270.0,top
R41,156.5,-135.5,270.0,top
R42,160.5,-135.5,270.0,top
R43,138.5,-135.5,270.0,top
R44,142.5,-135.5,270.0,top
R45,146.5,-135.5,270.0,top
R46,150.5,-135.5,270.0,top
R47,154.5,-135.5,270.0,top
R48,158.5,-135.5,270.0,top
R49,162.5,-135.5,270.0,top
R5,152.5,-148.75,90.0,top
R50,181.0,-135.5,270.0,top
R51,185.0,-135.5,270.0,top
R52,189.0,-135.5,270.0,top
R53,193.0,-135.5,270.0,top
R54,197.0,-135.5,270.0,top
R55,201.0,-135.5,270.0,top
R56,205.0,-135.5,270.0,top
R57,183.0,-135.5,270.0,top
R58,187.0,-135.5,270.0,top
R59,191.0,-135.5,270.0,top
R6,156.5,-148.75,90.0,top
R60,195.0,-135.5,270.0,top
R61,199.0,-135.5,270.0,top
R62,203.0,-135.5,270.0,top
R63,207.0,-135.5,270.0,top
R64,172.5,-140.25,270.0,top
R65,164.0,-128.6,90.0,top
R66,163.75,-115.0,270.0,top
R67,194.5,-113.0,90.0,top
R68,191.25,-112.0,180.0,top
R69,130.75,-118.25,180.0,top
R7,160.5,-148.75,90.0,top
R70,130.75,-116.0,180.0,top
R71,205.45,-105.0,0.0,top
R72,205.45,-107.25,180.0,top
R73,204.75,-115.0,180.0,top
R74,204.75,-117.25,0.0,top
R8,138.5,-148.75,90.0,top
R9,142.5,-148.75,90.0,top
U1,171.75,-127.1,0.0,top
U2,143.0,-127.01,270.0,top
U3,156.25,-127.01,270.0,top
U4,186.75,-127.0,270.0,top
U5,200.0,-127.0,270.0,top
U8,132.25,-123.25,0.0,top
X1,172.9,-135.4,180.0,top
Y1,132.25,-132.25,0.0,top
